dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,humidity_category,category_days
2011-01-03,Spring,2011,Jan,4,No Holiday,Monday,Clear,0.16,0.1364,47.0,0.3881,0,1,1,Ideal,weekdays
2011-01-03,Spring,2011,Jan,5,No Holiday,Monday,Clear,0.16,0.1364,47.0,0.2836,0,3,3,Ideal,weekdays
2011-01-03,Spring,2011,Jan,6,No Holiday,Monday,Clear,0.14,0.1061,50.0,0.3881,0,30,30,Ideal,weekdays
2011-01-03,Spring,2011,Jan,7,No Holiday,Monday,Clear,0.14,0.1364,50.0,0.194,1,63,64,Ideal,weekdays
2011-01-03,Spring,2011,Jan,8,No Holiday,Monday,Clear,0.14,0.1212,50.0,0.2836,1,153,154,Ideal,weekdays
2011-01-03,Spring,2011,Jan,9,No Holiday,Monday,Clear,0.16,0.1364,43.0,0.3881,7,81,88,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,10,No Holiday,Monday,Clear,0.18,0.1667,43.0,0.2537,11,33,44,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,11,No Holiday,Monday,Clear,0.2,0.1818,40.0,0.3284,10,41,51,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,12,No Holiday,Monday,Clear,0.22,0.2121,35.0,0.2985,13,48,61,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,13,No Holiday,Monday,Clear,0.24,0.2121,35.0,0.2836,8,53,61,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,14,No Holiday,Monday,Clear,0.26,0.2424,30.0,0.2836,11,66,77,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,15,No Holiday,Monday,Clear,0.26,0.2424,30.0,0.2537,14,58,72,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,16,No Holiday,Monday,Clear,0.26,0.2424,30.0,0.2537,9,67,76,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,17,No Holiday,Monday,Clear,0.24,0.2273,30.0,0.2239,11,146,157,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,18,No Holiday,Monday,Clear,0.24,0.2576,32.0,0.1045,9,148,157,Terlalu kering,weekdays
2011-01-03,Spring,2011,Jan,19,No Holiday,Monday,Clear,0.2,0.2576,47.0,0.0,8,102,110,Ideal,weekdays
2011-01-03,Spring,2011,Jan,20,No Holiday,Monday,Clear,0.2,0.2273,47.0,0.1045,3,49,52,Ideal,weekdays
2011-01-03,Spring,2011,Jan,21,No Holiday,Monday,Clear,0.18,0.197,64.0,0.1343,3,49,52,Ideal,weekdays
2011-01-03,Spring,2011,Jan,22,No Holiday,Monday,Clear,0.14,0.1515,69.0,0.1343,0,20,20,Terlalu Lembab,weekdays
2011-01-03,Spring,2011,Jan,23,No Holiday,Monday,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,Ideal,weekdays
2011-01-04,Spring,2011,Jan,0,No Holiday,Tuesday,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,Ideal,weekdays
2011-01-04,Spring,2011,Jan,1,No Holiday,Tuesday,Clear,0.16,0.1818,59.0,0.1045,0,2,2,Ideal,weekdays
2011-01-04,Spring,2011,Jan,2,No Holiday,Tuesday,Clear,0.14,0.1515,63.0,0.1343,0,1,1,Ideal,weekdays
2011-01-04,Spring,2011,Jan,4,No Holiday,Tuesday,Clear,0.14,0.1818,63.0,0.0896,0,2,2,Ideal,weekdays
2011-01-04,Spring,2011,Jan,5,No Holiday,Tuesday,Clear,0.12,0.1515,68.0,0.1045,0,4,4,Terlalu Lembab,weekdays
2011-01-04,Spring,2011,Jan,6,No Holiday,Tuesday,Clear,0.12,0.1515,74.0,0.1045,0,36,36,Terlalu Lembab,weekdays
2011-01-04,Spring,2011,Jan,7,No Holiday,Tuesday,Clear,0.12,0.1515,74.0,0.1343,2,92,94,Terlalu Lembab,weekdays
2011-01-04,Spring,2011,Jan,8,No Holiday,Tuesday,Clear,0.14,0.1515,69.0,0.1642,2,177,179,Terlalu Lembab,weekdays
2011-01-04,Spring,2011,Jan,9,No Holiday,Tuesday,Clear,0.16,0.1515,64.0,0.2239,2,98,100,Ideal,weekdays
2011-01-04,Spring,2011,Jan,10,No Holiday,Tuesday,Misty,0.16,0.1364,69.0,0.3284,5,37,42,Terlalu Lembab,weekdays
2011-01-04,Spring,2011,Jan,11,No Holiday,Tuesday,Clear,0.22,0.2121,51.0,0.2985,7,50,57,Ideal,weekdays
2011-01-04,Spring,2011,Jan,12,No Holiday,Tuesday,Clear,0.22,0.2273,51.0,0.1642,12,66,78,Ideal,weekdays
2011-01-04,Spring,2011,Jan,13,No Holiday,Tuesday,Clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,Ideal,weekdays
2011-01-04,Spring,2011,Jan,14,No Holiday,Tuesday,Clear,0.26,0.2576,52.0,0.2239,9,54,63,Ideal,weekdays
2011-01-04,Spring,2011,Jan,15,No Holiday,Tuesday,Clear,0.28,0.2727,52.0,0.2537,17,48,65,Ideal,weekdays
2011-01-04,Spring,2011,Jan,16,No Holiday,Tuesday,Clear,0.3,0.2879,49.0,0.2537,15,68,83,Ideal,weekdays
2011-01-04,Spring,2011,Jan,17,No Holiday,Tuesday,Clear,0.28,0.2727,48.0,0.2239,10,202,212,Ideal,weekdays
2011-01-04,Spring,2011,Jan,18,No Holiday,Tuesday,Clear,0.26,0.2576,48.0,0.194,3,179,182,Ideal,weekdays
2011-01-04,Spring,2011,Jan,19,No Holiday,Tuesday,Clear,0.24,0.2576,48.0,0.1045,2,110,112,Ideal,weekdays
2011-01-04,Spring,2011,Jan,20,No Holiday,Tuesday,Clear,0.24,0.2576,48.0,0.1045,1,53,54,Ideal,weekdays
2011-01-04,Spring,2011,Jan,21,No Holiday,Tuesday,Clear,0.22,0.2727,64.0,0.0,0,48,48,Ideal,weekdays
2011-01-04,Spring,2011,Jan,22,No Holiday,Tuesday,Clear,0.22,0.2576,64.0,0.0896,1,34,35,Ideal,weekdays
2011-01-04,Spring,2011,Jan,23,No Holiday,Tuesday,Clear,0.2,0.2273,69.0,0.0896,2,9,11,Terlalu Lembab,weekdays
2011-01-05,Spring,2011,Jan,0,No Holiday,Wednesday,Clear,0.2,0.2576,64.0,0.0,0,6,6,Ideal,weekdays
2011-01-05,Spring,2011,Jan,1,No Holiday,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,6,6,Terlalu Lembab,weekdays
2011-01-05,Spring,2011,Jan,2,No Holiday,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,2,2,Terlalu Lembab,weekdays
2011-01-05,Spring,2011,Jan,4,No Holiday,Wednesday,Clear,0.24,0.2273,48.0,0.2239,0,2,2,Ideal,weekdays
2011-01-05,Spring,2011,Jan,5,No Holiday,Wednesday,Clear,0.22,0.2273,47.0,0.1642,0,3,3,Ideal,weekdays
2011-01-05,Spring,2011,Jan,6,No Holiday,Wednesday,Clear,0.2,0.197,47.0,0.2239,0,33,33,Ideal,weekdays
2011-01-05,Spring,2011,Jan,7,No Holiday,Wednesday,Clear,0.18,0.1818,43.0,0.194,1,87,88,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,8,No Holiday,Wednesday,Clear,0.2,0.1818,40.0,0.2985,3,192,195,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,9,No Holiday,Wednesday,Clear,0.22,0.197,37.0,0.3284,6,109,115,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,10,No Holiday,Wednesday,Clear,0.22,0.197,37.0,0.3284,4,53,57,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,11,No Holiday,Wednesday,Clear,0.26,0.2273,33.0,0.3284,12,34,46,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,12,No Holiday,Wednesday,Clear,0.26,0.2273,33.0,0.3284,5,74,79,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,13,No Holiday,Wednesday,Clear,0.28,0.2576,30.0,0.2985,6,65,71,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,14,No Holiday,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,15,No Holiday,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,16,No Holiday,Wednesday,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,17,No Holiday,Wednesday,Clear,0.24,0.2273,38.0,0.194,4,186,190,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,18,No Holiday,Wednesday,Clear,0.24,0.2424,38.0,0.1343,3,166,169,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,19,No Holiday,Wednesday,Clear,0.24,0.2576,38.0,0.1045,5,127,132,Terlalu kering,weekdays
2011-01-05,Spring,2011,Jan,20,No Holiday,Wednesday,Clear,0.22,0.2273,47.0,0.1642,7,82,89,Ideal,weekdays
2011-01-05,Spring,2011,Jan,21,No Holiday,Wednesday,Clear,0.2,0.197,51.0,0.194,3,40,43,Ideal,weekdays
2011-01-05,Spring,2011,Jan,22,No Holiday,Wednesday,Clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,Ideal,weekdays
2011-01-05,Spring,2011,Jan,23,No Holiday,Wednesday,Clear,0.2,0.2576,47.0,0.0,1,18,19,Ideal,weekdays
2011-01-06,Spring,2011,Jan,0,No Holiday,Thursday,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,Ideal,weekdays
2011-01-06,Spring,2011,Jan,1,No Holiday,Thursday,Clear,0.16,0.2273,64.0,0.0,0,4,4,Ideal,weekdays
2011-01-06,Spring,2011,Jan,2,No Holiday,Thursday,Clear,0.16,0.2273,64.0,0.0,0,2,2,Ideal,weekdays
2011-01-06,Spring,2011,Jan,4,No Holiday,Thursday,Misty,0.16,0.197,64.0,0.0896,0,1,1,Ideal,weekdays
2011-01-06,Spring,2011,Jan,5,No Holiday,Thursday,Misty,0.14,0.1818,69.0,0.0896,0,4,4,Terlalu Lembab,weekdays
2011-01-06,Spring,2011,Jan,6,No Holiday,Thursday,Misty,0.14,0.1667,63.0,0.1045,0,36,36,Ideal,weekdays
2011-01-06,Spring,2011,Jan,7,No Holiday,Thursday,Misty,0.16,0.2273,59.0,0.0,0,95,95,Ideal,weekdays
2011-01-06,Spring,2011,Jan,8,No Holiday,Thursday,Clear,0.16,0.2273,59.0,0.0,3,216,219,Ideal,weekdays
2011-01-06,Spring,2011,Jan,9,No Holiday,Thursday,Misty,0.18,0.2424,51.0,0.0,6,116,122,Ideal,weekdays
2011-01-06,Spring,2011,Jan,10,No Holiday,Thursday,Clear,0.2,0.2576,47.0,0.0,3,42,45,Ideal,weekdays
2011-01-06,Spring,2011,Jan,11,No Holiday,Thursday,Clear,0.22,0.2576,44.0,0.0896,2,57,59,Terlalu kering,weekdays
2011-01-06,Spring,2011,Jan,12,No Holiday,Thursday,Clear,0.26,0.2879,35.0,0.0,6,78,84,Terlalu kering,weekdays
2011-01-06,Spring,2011,Jan,13,No Holiday,Thursday,Clear,0.26,0.2727,35.0,0.1045,12,55,67,Terlalu kering,weekdays
2011-01-06,Spring,2011,Jan,14,No Holiday,Thursday,Clear,0.28,0.2727,36.0,0.1642,11,59,70,Terlalu kering,weekdays
2011-01-06,Spring,2011,Jan,15,No Holiday,Thursday,Clear,0.28,0.2727,36.0,0.0,8,54,62,Terlalu kering,weekdays
2011-01-06,Spring,2011,Jan,16,No Holiday,Thursday,Clear,0.26,0.2576,38.0,0.1642,12,74,86,Terlalu kering,weekdays
2011-01-06,Spring,2011,Jan,17,No Holiday,Thursday,Clear,0.22,0.2273,51.0,0.1642,9,163,172,Ideal,weekdays
2011-01-06,Spring,2011,Jan,18,No Holiday,Thursday,Clear,0.22,0.2273,51.0,0.1343,5,158,163,Ideal,weekdays
2011-01-06,Spring,2011,Jan,19,No Holiday,Thursday,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,Ideal,weekdays
2011-01-06,Spring,2011,Jan,20,No Holiday,Thursday,Clear,0.2,0.2121,51.0,0.1642,3,66,69,Ideal,weekdays
2011-01-06,Spring,2011,Jan,21,No Holiday,Thursday,Misty,0.22,0.2121,55.00000000000001,0.2239,0,48,48,Ideal,weekdays
2011-01-06,Spring,2011,Jan,22,No Holiday,Thursday,Misty,0.22,0.2121,51.0,0.2836,1,51,52,Ideal,weekdays
2011-01-06,Spring,2011,Jan,23,No Holiday,Thursday,Misty,0.2,0.197,59.0,0.194,4,19,23,Ideal,weekdays
2011-01-07,Spring,2011,Jan,0,No Holiday,Friday,Misty,0.2,0.197,64.0,0.194,4,13,17,Ideal,weekdays
2011-01-07,Spring,2011,Jan,1,No Holiday,Friday,Misty,0.2,0.197,69.0,0.2239,2,5,7,Terlalu Lembab,weekdays
2011-01-07,Spring,2011,Jan,2,No Holiday,Friday,Misty,0.2,0.197,69.0,0.2239,0,1,1,Terlalu Lembab,weekdays
2011-01-07,Spring,2011,Jan,4,No Holiday,Friday,Misty,0.2,0.2121,69.0,0.1343,0,1,1,Terlalu Lembab,weekdays
2011-01-07,Spring,2011,Jan,5,No Holiday,Friday,Light_rainsnow,0.22,0.2727,55.00000000000001,0.0,0,5,5,Ideal,weekdays
2011-01-07,Spring,2011,Jan,6,No Holiday,Friday,Misty,0.2,0.2576,69.0,0.0,8,26,34,Terlalu Lembab,weekdays
2011-01-07,Spring,2011,Jan,7,No Holiday,Friday,Clear,0.2,0.2121,69.0,0.1343,8,76,84,Terlalu Lembab,weekdays
2011-01-07,Spring,2011,Jan,8,No Holiday,Friday,Clear,0.2,0.197,51.0,0.2537,20,190,210,Ideal,weekdays
2011-01-07,Spring,2011,Jan,9,No Holiday,Friday,Clear,0.2,0.1818,47.0,0.2985,9,125,134,Ideal,weekdays
2011-01-07,Spring,2011,Jan,10,No Holiday,Friday,Clear,0.22,0.197,37.0,0.3284,16,47,63,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,11,No Holiday,Friday,Misty,0.2,0.197,40.0,0.2239,19,48,67,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,12,No Holiday,Friday,Misty,0.2,0.197,37.0,0.2537,9,50,59,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,13,No Holiday,Friday,Misty,0.2,0.1818,37.0,0.2836,9,64,73,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,14,No Holiday,Friday,Misty,0.2,0.197,40.0,0.2537,7,43,50,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,15,No Holiday,Friday,Misty,0.2,0.2121,37.0,0.1642,9,63,72,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,16,No Holiday,Friday,Misty,0.2,0.2121,37.0,0.1642,5,82,87,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,17,No Holiday,Friday,Misty,0.2,0.2576,37.0,0.0,9,178,187,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,18,No Holiday,Friday,Clear,0.2,0.2273,40.0,0.0896,7,116,123,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,19,No Holiday,Friday,Clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,Ideal,weekdays
2011-01-07,Spring,2011,Jan,20,No Holiday,Friday,Clear,0.18,0.2121,47.0,0.1045,1,50,51,Ideal,weekdays
2011-01-07,Spring,2011,Jan,21,No Holiday,Friday,Clear,0.18,0.197,47.0,0.1343,0,39,39,Ideal,weekdays
2011-01-07,Spring,2011,Jan,22,No Holiday,Friday,Misty,0.18,0.197,43.0,0.1642,2,34,36,Terlalu kering,weekdays
2011-01-07,Spring,2011,Jan,23,No Holiday,Friday,Misty,0.18,0.197,51.0,0.1642,1,14,15,Ideal,weekdays
2011-01-08,Spring,2011,Jan,0,No Holiday,Saturday,Misty,0.18,0.197,51.0,0.1642,1,24,25,Ideal,weekend
2011-01-08,Spring,2011,Jan,1,No Holiday,Saturday,Misty,0.18,0.2121,55.00000000000001,0.0896,1,15,16,Ideal,weekend
2011-01-08,Spring,2011,Jan,2,No Holiday,Saturday,Misty,0.18,0.2424,55.00000000000001,0.0,3,13,16,Ideal,weekend
2011-01-08,Spring,2011,Jan,3,No Holiday,Saturday,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,7,7,Ideal,weekend
2011-01-08,Spring,2011,Jan,4,No Holiday,Saturday,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,1,1,Ideal,weekend
2011-01-08,Spring,2011,Jan,5,No Holiday,Saturday,Misty,0.16,0.1667,74.0,0.1642,0,5,5,Terlalu Lembab,weekend
2011-01-08,Spring,2011,Jan,6,No Holiday,Saturday,Misty,0.16,0.1667,74.0,0.1642,0,2,2,Terlalu Lembab,weekend
2011-01-08,Spring,2011,Jan,7,No Holiday,Saturday,Misty,0.16,0.1818,74.0,0.1045,1,8,9,Terlalu Lembab,weekend
2011-01-08,Spring,2011,Jan,8,No Holiday,Saturday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,15,15,Terlalu Lembab,weekend
2011-01-08,Spring,2011,Jan,9,No Holiday,Saturday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,20,20,Terlalu Lembab,weekend
2011-01-08,Spring,2011,Jan,10,No Holiday,Saturday,Misty,0.18,0.197,80.0,0.1642,5,56,61,Terlalu Lembab,weekend
2011-01-08,Spring,2011,Jan,11,No Holiday,Saturday,Misty,0.2,0.1818,69.0,0.3881,2,60,62,Terlalu Lembab,weekend
2011-01-08,Spring,2011,Jan,12,No Holiday,Saturday,Misty,0.2,0.1818,59.0,0.3582,8,90,98,Ideal,weekend
2011-01-08,Spring,2011,Jan,13,No Holiday,Saturday,Clear,0.2,0.1818,44.0,0.3284,7,95,102,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,14,No Holiday,Saturday,Clear,0.2,0.1667,32.0,0.4925,12,83,95,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,15,No Holiday,Saturday,Clear,0.2,0.1667,32.0,0.4478,5,69,74,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,16,No Holiday,Saturday,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,17,No Holiday,Saturday,Clear,0.16,0.1212,37.0,0.5522,5,64,69,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,18,No Holiday,Saturday,Clear,0.14,0.1212,39.0,0.2985,3,52,55,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,19,No Holiday,Saturday,Clear,0.14,0.1212,36.0,0.2537,4,26,30,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,20,No Holiday,Saturday,Clear,0.12,0.1212,36.0,0.2537,0,28,28,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,21,No Holiday,Saturday,Clear,0.12,0.1061,39.0,0.3582,2,35,37,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,22,No Holiday,Saturday,Clear,0.12,0.1061,36.0,0.3881,1,33,34,Terlalu kering,weekend
2011-01-08,Spring,2011,Jan,23,No Holiday,Saturday,Clear,0.1,0.0606,39.0,0.4478,0,22,22,Terlalu kering,weekend
2011-01-09,Spring,2011,Jan,0,No Holiday,Sunday,Clear,0.1,0.0758,42.0,0.3881,1,24,25,Terlalu kering,weekend
2011-01-09,Spring,2011,Jan,1,No Holiday,Sunday,Clear,0.1,0.0606,42.0,0.4627,0,12,12,Terlalu kering,weekend
2011-01-09,Spring,2011,Jan,2,No Holiday,Sunday,Clear,0.1,0.0606,46.0,0.4627,0,11,11,Ideal,weekend
2011-01-09,Spring,2011,Jan,3,No Holiday,Sunday,Clear,0.1,0.0758,46.0,0.4179,0,4,4,Ideal,weekend
2011-01-09,Spring,2011,Jan,4,No Holiday,Sunday,Clear,0.08,0.0909,53.0,0.194,0,1,1,Ideal,weekend
2011-01-09,Spring,2011,Jan,5,No Holiday,Sunday,Clear,0.08,0.0909,53.0,0.194,0,1,1,Ideal,weekend
2011-01-09,Spring,2011,Jan,6,No Holiday,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,1,1,Ideal,weekend
2011-01-09,Spring,2011,Jan,7,No Holiday,Sunday,Clear,0.08,0.0909,53.0,0.194,1,5,6,Ideal,weekend
2011-01-09,Spring,2011,Jan,8,No Holiday,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,10,10,Ideal,weekend
